labels,variable,min,max
EU-Reformen: EU-weiter Verteilungsschluessel fuer Fluechtlinge,EU_reform_vert,1,5
EU-Reformen: Mindeststeuern fuer Unternehmensgewinne in der EU,EU_reform_mste,1,5
EU-Reformen: Einheitlicher europaeischer Mindestlohn,EU_reform_mloh,1,5
Corona-Hilfspaket Beispielland A,EU_vert_el_ul_bh,0,10
Corona-Hilfspaket Beispielland B,EU_vert_eh_ul_bh,0,10
Corona-Hilfspaket Beispielland C,EU_vert_el_uh_bh,0,10
Corona-Hilfspaket Beispielland D,EU_vert_eh_uh_bh,0,10
Corona-Hilfspaket Beispielland E,EU_vert_el_ul_bl,0,10
Corona-Hilfspaket Beispielland F,EU_vert_eh_ul_bl,0,10
Corona-Hilfspaket Beispielland G,EU_vert_el_uh_bl,0,10
Corona-Hilfspaket Beispielland H,EU_vert_eh_uh_bl,0,10
Links-Rechts-Selbsteinstufung,lrscale,0,10
Aktuelles Haushaltseinkommen,hh_inc_cur,1,10
Finanzielles Auskommen: Aktuell,fin_ausk_akt,1,5
Finanzielles Auskommen: Februar 2020,fin_ausk_feb,1,5
Finanzielles Auskommen: In 3 Monaten,fin_ausk_mon,1,5
Finanzielles Auskommen: In 12 Monaten,fin_ausk_yea,1,5
Wirtschaftslage: In 3 Monaten,eco_ausk_mon,1,5
Wirtschaftslage: In 12 Monaten,eco_ausk_yea,1,5
Meinung anderer Oesterreicher: Geschaefte sollen geschlossen bleiben,sozialn_mein_and_ges,1,5
Meinung anderer Oesterreicher: Alle muessen zu Hause bleiben,sozialn_mein_and_hau,1,5
Meinung anderer Oesterreicher: Nicht-Einhaltung von Massnahmen bestrafen,sozialn_mein_and_bes,1,5
Meinung anderer Oesterreicher: Alle muessen 1m Abstand halten,sozialn_mein_and_abs,1,5
Meinung anderer Oesterreicher: Verletzungen muessen vermieden werden,sozialn_mein_and_ver,1,5
Meinung anderer Oesterreicher: Schutzmasken im oeffentlichen Raum tragen,sozialn_mein_and_sch,1,5
Verhalten anderer Oesterreicher: Bleiben zu Hause,sozialn_verh_and_hau,1,5
Verhalten anderer Oesterreicher: Halten Abstand,sozialn_verh_and_abs,1,5
Verhalten anderer Oesterreicher: Vermeiden Verletzungen,sozialn_verh_and_ver,1,5
Verhalten anderer Oesterreicher: Tragen Schutzmasken,sozialn_verh_and_sch,1,5
Eigenes Verhalten: Zu Hause bleiben,sozialn_verh_eig_hau,1,5
Eigenes Verhalten: Abstand halten,sozialn_verh_eig_abs,1,5
Eigenes Verhalten: Verletzungen vermeiden,sozialn_verh_eig_ver,1,5
Eigenes Verhalten: Schutzmaske tragen,sozialn_verh_eig_sch,1,5
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahme: Schliessung von Schwimmbaedern,masgelten_schwimm,1,4
Massnahme: Schliessung von Spielplaetzen,masgelten_spielpl,1,4
Massnahme: Schliessung von Volks- und hoeheren Schulen,masgelten_schulen,1,4
Massnahme: Schliessung von Kindergaerten und Kindertagesstaetten,masgelten_kinderg,1,4
Massnahme: Besuchsverbot in Pflege- und Seniorenwohnheimen,masgelten_senheim,1,4
Massnahme: Schliessung aller Geschaefte abseits der Grundversorgung,masgelten_geschae,1,4
Massnahme: Einschraenkung der Reisefreiheit,masgelten_reisefr,1,4
Massnahme: Weitgehendes Betretungsverbot des oeffentlichen Raums,masgelten_betretu,1,4
Massnahme: Maskenpflicht in Geschaeften und oeffentlichen Verkehrsmitteln,masgelten_maskenp,1,4
"Massnamen: Verpflichtung fuer Betriebe, Daten ihrer Besucher zu erfassen",masgelten_gastreg,1,4
Massnahmen: Naechtliche Aussgangsbeschraenkungen,masgelten_nachtau,1,4
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts,masgelten_kontakt,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_gastaet,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahme: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_veranst,1,4
Massnahmen: Verpflichtende Zutrittstests zu Veranstaltungen,masgelten_zutesve,1,4
Massnahmen: Verpflichtende Zutrittstests zu Gastronomie und Hotellerie,masgelten_zutesga,1,4
Massnahmen: Verpflichtende Zutrittstest fuer koerpernahe Dienstleistungen,masgelten_zutesdi,1,4
Weihnachten/Neujahr: Eingeschraenkte Kontakte ausserhalb des eigenen Haushalts,masgelten_weih_kontakt,1,4
"Weihnachten/Neujahr: Schliessung von Gaststaetten, Cafés, Bars und Restaurants",masgelten_weih_gastaet,1,4
Weihnachten/Neujahr: Verbot von Veranstaltungen mit vielen Teilnehmer*innen,masgelten_weih_veranst,1,4
Weihnachten/Neujahr: Besuchsverbot in Pflege- und Seniorenwohnheimen,masgelten_weih_senheim,1,4
Weihnachten/Neujahr: Schliessung aller Geschaefte abseits der Grundversorgung,masgelten_weih_geschae,1,4
Weihnachten/Neujahr: Einschraenkung der Reisefreiheit,masgelten_weih_reisefr,1,4
Weihnachten/Neujahr: Maskenpflicht in Geschaeften/oeffentlichen Verkehrsmitteln,masgelten_weih_maskenp,1,4
Weihnachten/Neujahr: Verzicht auf religioese Zusammenkuenfte,masgelten_weih_sreligo,1,4
Massentests: Habe/werde mich testen lassen,getestet_old,1,4
Corona-Test: Haeufigkeit in den letzten vier Wochen,getestet_new,1,6
Corona-Test: Haeufigkeit [Wenn mehr als 4 Mal],getestet_ext,1,4
Massentests: Anmeldung funktioniert problemlos,mastest_anm,1,5
Massentests: Durchfuehrung erfolgt professionell,mastest_dur,1,5
Massentests: Teststation weit von Wohnort entfernt,mastest_woh,1,5
Massentests: Lange Menschenschlangen vor Teststationen,mastest_war,1,5
Massentests: Effektive Massnahme gegen Corona,mastest_eff,1,5
Massentests: Ergebnis ist zuverlaessig,mastest_zuv,1,5
"Massentests: Negativer Test bedeutet, dass ich mehr Personen treffen kann",mastest_tre,1,5
Massentests: Trotz negativen Testergebnisses kann ich das Coronavirus verbreiten,mastest_ver,1,5
Massentests: Privater Test kurz vor Weihnachten,mastest_pri,1,5
"Massentests: keine Teilnahme, da Quarantaene nicht leistbar",mastest_qua,1,5
Corona-Tests: Strengere Massnahmen fuer Personen ohne Test,mastest_str,1,5
Corona-Test: Moeglich sich schnell testen zu lassen,mastest_mot,1,5
Umgang mit Corona: Moeglichst harte Massnahmen fuer eine kuerzere Krise,umgcor_hart,1,5
"Umgang mit Corona: Massnahmen erst lockern, wenn Neuansteckungen bei Null sind.",umgcor_zero,1,5
"Umgang mit Corona: Sobald Risikogruppen geimpft sind, sollte geoeffnet werden.",umgcor_impf,1,5
"Umgang mit Corona: Alle Beschraenkungen aufheben, dafuer Eigenverantwortung",umgcor_eigv,1,5
"Umgang mit Corona: Massnahmen lockern, auch wenn das mehr Infizierte bedeutet",umgcor_lock,1,5
"Ansteckungsgefahr: Restaurants, Cafés und Bars",anst_rest,1,5
Ansteckungsgefahr: Oeffentliche Verkehrsmittel,anst_oeff,1,5
Ansteckungsgefahr: Ihrer Arbeitsstaette [wenn: erwerbstaetig],anst_arbe,1,5
Ansteckungsgefahr: Schulen und Kindergaerten,anst_schu,1,5
Ansteckungsgefahr: Oeffentliche Parks und Spielplaetze,anst_park,1,5
Ansteckungsgefahr: Arzt,anst_arzt,1,5
Ansteckungsgefahr: Familienfeier,anst_fami,1,5
Ansteckungsgefahr: Treffen von Freunden Zuhause,anst_freu,1,5
Bereits gegen Corona geimpft,geimpft,1,2
Geimpft: welcher Impfstoff,geim_impfs,1,6
Geimpft: beide Impfungen,geim_beide,1,2
Impfen: ehestmoeglich,impf_ehe,1,5
Impfen: Impfpflicht fuer alle,impf_pfl,1,5
Impfen: gratis Impfstoff,impf_gra,1,5
Impfen: Impfpflicht fuer Berufsgruppen mit hohem Risiko,impf_pfb,1,5
"Impfen: Sollte Moeglichkeit haben, mich sofort impfen zu lassen",impf_sof,1,5
"Impfen: Es ist unfair, dass bestimmte Gruppen die Impfung frueher erhalten",impf_unf,1,5
Impfen: Meisten Personen in meinem Umfeld sind bereit sich impfen zu lassen,impf_soz,1,5
Aussage: Mache mir Sorgen ueber unvorhergesehene Nebenwirkungen der Impfung,impfe_sor,1,5
Aussage: Verlasse mich lieber auf mein Immunsystem als auf eine Impfung,impfe_imm,1,5
Aussage: Fuehle mich gut ueber die Wirkweise der Impfstoffe informiert,impfe_ini,1,5
Aussage: Die Impfung erlaubt mir ein Leben wie vor der Pandemie.,impfe_leb,1,5
Aussage: Mit einer Impfung kann ich andere schuetzen.,impfe_asc,1,5
"Aussage: Lasse mich impfen, wenn andere sich zuerst impfen lassen",impfe_aim,1,5
Aussage: Mit einer Impfung kann ich mich selbst schuetzen.,impfe_ssc,1,5
Aussage: Behoerdlich zugelassene Impfungen sind sicher.,impfe_sic,1,5
Aussage: Behoerden informieren hinreichend ueber Wirkungsweise der Impfstoffe,impfe_inb,1,5
"Aussage: Mein Alltag ist zu stressig, ich habe keine Zeit fuer eine Impfung.",impfe_str,1,5
Impfbereitschaft: BioNTech-Pfizer,impfs_bnp,1,5
Impfbereitschaft: AstraZeneca,impfs_asz,1,5
Impfbereitschaft: Moderna,impfs_mod,1,5
Impfbereitschaft: Johnson & Johnson,impfs_jaj,1,5
Impfbereitschaft: Sputnik V,impfs_spv,1,5
Aussage: FFP2-Schutzmasken sind effektive Massnahme,ffp_eff,1,5
Aussage: Mit einer FFP2-Schutzmaske kann ich andere schuetzen.,ffp_and,1,5
Aussage: Mit einer FFP2-Schutzmaske kann ich mich selbst schuetzen.,ffp_slb,1,5
Erwerbstaetigkeit aktuell,berufst,1,10
Erwerbstaetigkeit Partner(in): aktuell,berufst_pa,1,10
Erwerbstaetigkeit Partner(in): Februar 2020,berufst_pf,1,10
Arbeitsstunden: Jetzt pro Woche,workh_akt,NA,NA
Aenderung berufliche Situation: Home-Office,berufa_home,0,1
Aenderung berufliche Situation: Abbau Zeitausgleich/Urlaub,berufa_urla,0,1
Aenderung berufliche Situation: Kuendigung,berufa_kuen,0,1
Aenderung berufliche Situation: Stundenaufstockung,berufa_aufs,0,1
Aenderung berufliche Situation: Kurzarbeit,berufa_kurz,0,1
Aenderung berufliche Situation: Arbeitslosenunterstuetzung,berufa_arbu,0,1
Aenderung berufliche Situation: Geld aus Haertefonds,berufa_hafo,0,1
Aenderung berufliche Situation: aws-Kredit,berufa_awsk,0,1
Aenderung berufliche Situation: Sozialhilfe,berufa_sozh,0,1
Aenderung berufliche Situation: keine Arbeit und keine staatliche Unterstuetzung,berufa_kasa,0,1
Aenderung berufliche Situation: keine Aenderung,berufa_kaen,0,1
Aenderung berufliche Situation: keine Angabe,berufa_kang,0,0
Zeit: Medienkonsum (in Sek.),zeitv_medi,NA,NA
Zeit: Chatten/Telefonieren  (in Sek.),zeitv_telc,NA,NA
Zeit: Hobbys  (in Sek.),zeitv_hobb,NA,NA
Zeit: Hausarbeit / Einkaufen  (in Sek.),zeitv_eink,NA,NA
Zeit: Pflege / Kinderbetreuung  (in Sek.),zeitv_betr,NA,NA
Zeit: Bezahlte Arbeit (wenn Erwerbstaetigk. = erwerbstaetig; in Sek.),zeitv_arbe,NA,NA
Zeit: Studium (wenn: Erwerbstaetigkeit = Studium)  (in Sek.),zeitv_stud,NA,NA
Zeit: Weiterbildung / Bewerbung (arbeitslos)  (in Sek.),zeitv_weit,NA,NA
Zeit: Schlafen (inklusive normaler Nachtruhe)  (in Sek.),zeitv_schl,NA,NA
Aussage: Politik muss soziale Ungleichheit bekaempfen,issue_ungl,1,5
Aussage: Sozialstaat macht Menschen traege und faul,issue_faul,1,5
Aussage: Arbeitslosigkeit durch Staatsschulden bekaempfen,issue_albe,1,5
Aussage: wenig Eingriff in Wirtschaft durch Politik,issue_wirt,1,5
Aussage: Bevorzugung von Frauen bei gleicher Qualifikation,issue_frau,1,5
Aussage: Ausweitung der Befugnisse der Polizei,issue_poli,1,5
Aussage: Zuwanderung nach Oesterreich nur in Ausnahmefaellen,issue_zuwa,1,5
Aussage: Umweltschutz um jeden Preis,issue_umwe,1,5
Aussage: Einkommensunterschiede in Oesterreich sind zu gross,issue_eink,1,5
Aussage: Generationenvertrag,issue_gena,1,5
Aussage: Reduktion von Einkommensunterschieden durch staatliche Massnahmen,issue_redu,1,5
Issue-Position: Steuern vs. Sozialleistungen,steuervssozl,0,10
Ersatzleistung (Euro): Person mit 1500 Euro Bruttoentgelt bei 0% Kurzarbeit,ersatz_linc_kurz,NA,NA
Ersatzleistung (Euro): Person mit 5000 Euro Bruttoentgelt bei 0% Kurzarbeit,ersatz_hinc_kurz,NA,NA
Ersatzleistung (Euro): Person mit 1500 Euro Bruttoentgelt bei Arbeitslosigkeit,ersatz_linc_arbl,NA,NA
Ersatzleistung (Euro): Person mit 5000 Euro Bruttoentgelt bei Arbeitslosigkeit,ersatz_hinc_arbl,NA,NA
Aussage: Arbeitslose suchen nicht nach Arbeitsstelle,welfshov_such,1,5
